Code,Description,Gases covered
M.0.EL,National Total excluding LULUCF,all
1,Energy,"CO2, CH4, N2O"
1.A,Fuel Combustion Activities,"CO2, CH4, N2O"
1.B,Fugitive Emissions from Fuels,"CO2, CH4, N2O"
1.B.1,Solid Fuels,"CO2, CH4, N2O"
1.B.2,Oil and Natural Gas,"CO2, CH4, N2O"
1.B.3,Other Emissions from Energy Production,"CO2, CH4, N2O"
1.C,Carbon Dioxide Transport and Storage,CO2
2,Industrial Processes and Product Use (IPPU),"CO2, CH4, N2O, f-gases"
2.A,Mineral Industry,CO2
2.B,Chemical Industry,"CO2, CH4, N2O"
2.C,Metal Industry,"CO2, CH4, N2O"
2.D,Non-Energy Prod. from Fuels and Solvent Use,"CO2, CH4, N2O"
2.E,Electronics Industry,N2O (f-gases emitted but not resolved)
2.F,Product uses as Substitutes for Ozone Depleting Substances,
2.G,Other Product Manufacture and Use,"CO2, CH4, N2O"
2.H,Other,"CO2, CH4, N2O"
M.AG,"Agriculture, sum of 3.A and M.AG.ELV","CO2, CH4, N2O"
3.A,Livestock,"CH4, N2O"
M.AG.ELV,Agriculture excluding Livestock,"CO2, CH4, N2O"
4,Waste,"CO2, CH4, N2O"
5,Other,"CO2, CH4, N2O"
0,National Total including LULUCF,"CO2, CH4, N2O, f-gases"
3,"Agriculture, Forestry and Other Land Use (AFOLU)","CO2, CH4, N2O"
M.LULUCF,"Land Use, Land Use Change, and Forestry","CO2, CH4, N2O"
